t,A,T,A_true,T_true
0,0.2985339252,0.07324708903,0.30832,0.07708
1,0.2152938913,0.1193858307,0.2309569575,0.1210511951
2,0.186102676,0.140729727,0.173869609,0.1472736118
3,0.1316474581,0.1655408276,0.1317640461,0.1611353152
4,0.1031875549,0.1612363376,0.1007159165,0.1665206612
5,0.0818806054,0.1653626341,0.07781880723,0.1662140541
6,0.06333586623,0.1630614116,0.06092241071,0.1621976261
7,0.04654147361,0.1415367396,0.04843763387,0.1558703345
8,0.03903238581,0.1570441841,0.03919160663,0.1482089085
9,0.03116388709,0.1395848338,0.03231987223,0.1398858157
10,0.02686248209,0.1369353006,0.02718627343,0.1313555052
11,0.0248519761,0.1308043573,0.02332345991,0.1229172709
12,0.0203850452,0.1198833358,0.02038874269,0.1147609153
13,0.01660505282,0.1156502756,0.01813136402,0.1069997851
14,0.01634331894,0.09941634602,0.01636825412,0.09969455651
15,0.01429702051,0.09901786121,0.01496609304,0.09287026204
16,0.01501682551,0.08249986897,0.0138280537,0.08652839534
17,0.01368396016,0.07477626889,0.0128840176,0.08065544311
18,0.0116696608,0.06925062783,0.01208336446,0.0752288352
19,0.01087018204,0.07709959131,0.0113896677,0.07022103779
20,0.01160629559,0.06367938416,0.01077679948,0.06560231909
21,0.009784007891,0.06654055715,0.01022607715,0.06134257274
22,0.01023095429,0.05587938329,0.009724177725,0.05741247834
23,0.00958421179,0.05649447596,0.009261618077,0.05378420059
24,0.008547164879,0.05073320603,0.008831651029,0.05043177207
25,0.00868954259,0.0442185002,0.008429466534,0.04733126278
26,0.008324552436,0.04875338945,0.008051616163,0.04446080991
27,0.007522773645,0.04275461408,0.007695600599,0.04180055912
28,0.007502332068,0.04021790344,0.007359575739,0.03933255299
29,0.006816829606,0.03393932577,0.007042144809,0.03704059103
30,0.006472416985,0.03498055909,0.006742212565,0.03491007772
